ID,QUEUE_NAME,DIVISION_ID,DIVISION_NAME,DATECREATED,CREATEDBY,CALL_SERVICELEVEL_DURATION,CHAT_SERVICELEVEL_DURATION,EMAIL_SERVICELEVEL_DURATION,MESAGGE_SERVICELEVEL_DURATION,FECHA_CARGA
e41b13c9-33fa-4169-bea8-2e293e21a301, HND TeleventasMP_TC_VIP,6c9d302d-0e0f-4966-a875-cbbf7ab5e42f,Televentas,2024-03-04T21:13:57.929Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,20000,20000,86400000,20000,2026-06-30 10:30:28
b9813e9d-9bf1-4a5a-b261-b73ad72166f8, HND_FDL_OUT_VOZ_UPG_2,997da3ed-3909-47ee-b489-191f7a36a1c3,Fidelización,2026-06-23T16:06:47.737Z,e6990cfa-43a3-4884-b7e5-51c731abf0fe,20000,20000,86400000,20000,2026-06-30 10:30:28
4bcc28a7-9912-4778-93e0-38eb78ccd428,AGENCIA PRUEBA 2,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2026-02-03T16:18:13.253Z,da32eea0-56f6-4998-a72d-4145bb67c446,20000,20000,86400000,20000,2026-06-30 10:30:28
d0f0b1c2-cab0-4fa2-8120-ee682b398356,AGENCIAS PRUEBA,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2026-02-03T15:58:06.971Z,da32eea0-56f6-4998-a72d-4145bb67c446,20000,20000,86400000,20000,2026-06-30 10:30:28
661db65b-639b-499c-bd28-ad2f0152b3b9,Archivo borrar,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-03-06T02:44:36.431Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
92ffe57e-06b4-479b-b413-b3c6814010a9,Archivo borrar1,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-04T19:58:13.020Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
2b19a7b6-7326-488e-b042-22326023440f,Archivo borrar2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-01-20T22:05:23.235Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
ef5847d6-f286-49f4-ae17-f404325d9d40,Banca_Personas_Jun2024,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-06-06T19:43:26.386Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
8ab6c76b-2e37-40aa-aaf0-0e50ed1cd41c,BLZ IN_BELICE,875adab8-cb33-41b9-a658-da4cac385e1c,Belice,2024-06-05T21:52:33.041Z,eac74941-f1fe-4806-918a-a57c707b6d60,40000,20000,86400000,20000,2026-06-30 10:30:28
133e5ace-eb62-4800-8212-779f74cb3650,BLZ IN_BELICE_V2,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2025-01-03T20:24:03.468Z,695d6dfc-11d3-48ad-a286-64290b8d94e0,40000,20000,86400000,20000,2026-06-30 10:30:28
1e6928e9-f161-4720-8ee6-81d444ac1492,Encuesta Agente ABI,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-05-23T23:54:29.423Z,78ad279c-f155-449e-84f6-da696da30386,20000,20000,86400000,20000,2026-06-30 10:30:28
db07aec0-23f9-4a2d-865c-6fc32bafce5b,Encuesta Apertura Cuenta ABI,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2026-05-23T23:56:05.928Z,78ad279c-f155-449e-84f6-da696da30386,20000,20000,86400000,20000,2026-06-30 10:30:28
754c20ce-35bc-47a3-821f-6bc707906e0c,EnivioABI_ITXDS,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2024-12-24T15:12:41.883Z,78ad279c-f155-449e-84f6-da696da30386,20000,20000,86400000,20000,2026-06-30 10:30:28
9b8a1da4-1560-4529-85c5-13908a68b7d4,HND Alternativas Financieras,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-07-05T16:30:30.851Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
ab2ca2fb-5402-4495-9339-5470a6e7be40,HND Atlantida TAP,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2024-11-06T21:50:35.921Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
f411e67b-6b11-475a-be5f-ff376adbf204,HND Back Office,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2022-07-26T21:14:44.526Z,78ad279c-f155-449e-84f6-da696da30386,20000,20000,86400000,20000,2026-06-30 10:30:28
5406c530-c5c2-45d5-9319-b0324829551d,HND Back Office Bloqueos Diarios,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2022-12-26T18:05:55.648Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
5ddeadc2-d2e1-48bd-bf3d-6fb271ae0a4f,HND Back Office General INTER,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2025-06-09T22:07:37.735Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,20000,20000,86400000,20000,2026-06-30 10:30:28
73c2a7a1-67df-4b51-be86-5b871e49939e,HND Back Office General NAC,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2025-04-30T17:06:35.967Z,695d6dfc-11d3-48ad-a286-64290b8d94e0,20000,20000,86400000,20000,2026-06-30 10:30:28
b84ca391-f5c1-48f8-b45e-0aa6f2d09d8b,HND Banca Comercial Pyme ,b4167431-5d5b-4409-9df5-890acf39ead6,BT_Cash_Management,2025-02-13T21:49:45.319Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,40000,20000,86400000,20000,2026-06-30 10:30:28
6bf5a6da-8549-4bd9-9471-dbda7a564c0c,HND Banca Corporativa,b4167431-5d5b-4409-9df5-890acf39ead6,BT_Cash_Management,2025-02-13T21:49:13.993Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,40000,20000,86400000,20000,2026-06-30 10:30:28
43ca2ee7-e248-4b03-a35e-dc88945521a8,HND BASA CHEQUES,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2022-12-05T20:27:33.834Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
4219e725-409d-49d2-a7ff-f543af18351a,HND BO CANCELACION TD,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-03-17T18:55:08.047Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
aa297906-0bf5-4cac-9a60-f4f36da0cde5,HND BO Cheques,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-04-18T21:49:38.589Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
8379d545-79a3-4106-80fc-c27e8b30cb4b,HND BO Llamada de bienvenida,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-03-12T19:25:27.257Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
2841dca6-43fc-4b6d-bb50-58693030d2f6,HND CHAT_APERTURA_CUENTAS,548e03b5-af03-401f-956f-d6e9201bf3e4,Servicio al Cliente,2024-10-29T21:21:54.134Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,300000,86400000,20000,2026-06-30 10:30:28
d21039d0-84d3-4661-8589-61c0942b2f9d,HND Cobros  MA Vivienda General,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-01-03T20:45:25.268Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
112442bf-65be-4b36-9c9e-b2bf452233f5,HND Cobros Agentes Nuevos PR,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-05-27T17:47:33.976Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
e6c49ae6-f09e-47f9-b744-e42ec53d2a39,HND Cobros Agentes Nuevos TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-05-27T17:44:50.260Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
f9bb2701-bb1f-4145-a8fb-7647359e49d5,HND Cobros BackOffice,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-02-08T02:46:42.502Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
ab2b52f6-31b4-4f67-a2be-331225a7d1cd,HND Cobros Cyber Gral,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-02-15T15:34:39.442Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
d0d32dc6-5538-4a3b-bd5b-4f627b3a0dd6,HND Cobros Email TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-11-07T20:24:18.316Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
295114f1-4904-43d7-8c07-579abcde975f,HND Cobros EXCON M30 ,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-10-10T15:18:40.622Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
a9ee0c4c-381e-4099-8ec2-722696b16020,HND Cobros EXCON M60,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-10-10T15:19:52.514Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
1b211956-f53b-44ce-ba3e-c1e4ae2daffa,HND Cobros EXCON M90,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-10-10T15:21:10.583Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
4b3b1bfa-147b-4346-9d8a-3b34ec6ef345,HND Cobros General Premora TTS,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-12-20T19:07:48.779Z,a337da7f-7f39-4ff7-b644-b5c236cf0985,20000,20000,86400000,20000,2026-06-30 10:30:28
e5bc9310-e220-4031-b4cd-62ae30d1b114,HND Cobros General Premora y TC 30,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-09-10T19:56:23.658Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
df81544d-cb84-4b8a-a743-8a5efc351ebf,HND Cobros Localizadores LC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-06-03T20:52:52.972Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
1beedbfd-6838-483f-9c46-c224f6674a2c,HND Cobros Localizadores SPS,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-06-03T20:51:52.978Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
f32e4ccf-ad1a-4d5b-bbf8-fe940d0f8313,HND Cobros Localizadores TGU,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-07-28T20:30:40.668Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
599a2019-ae27-4e91-be7d-4bf8a4ca3295,HND Cobros MA Arreglo M120+,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-11-04T20:37:19.948Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
b5fa83c3-4907-44d7-a64c-72a1ac458ff6,HND Cobros MA Ex-Conv M120+,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-01-04T15:14:29.914Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
0bc20a96-7ee7-4e18-844f-abbf9a50a8ee,HND Cobros MA Ex-Conv M120+ V2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-22T13:11:10.404Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
c7247070-96d6-45d3-b390-b4c7d2b4c053,HND Cobros MA General Temporal,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-12-05T15:21:07.767Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
0ed324ab-78af-4b2e-96ab-e658ad902e44,HND Cobros MA Vivienda General  V2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-22T13:09:43.204Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
cf8c777e-4937-4230-91f6-3ac93d0d9f93,HND Cobros Mora 120 TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-03-06T02:45:38.448Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
fe3ca827-9b7a-415d-bb13-a5b6a7b0ee64,HND Cobros Mora 120 TC Temporal,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-05-12T21:20:22.821Z,d1ce9245-e066-494c-831d-db2447227b16,20000,20000,86400000,20000,2026-06-30 10:30:28
695ab80c-37b2-4a11-a145-7b2a30578c34,HND Cobros Mora 120 TC V2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-21T06:49:17.232Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
1415b224-89d3-49ce-adb3-ff0ed49c5e3d,HND Cobros Mora 150 TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-03-06T02:47:52.868Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
3c92e025-b563-451b-a42c-95127961de22,HND Cobros Mora 150 TC V2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-21T06:51:09.034Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
ef662c4d-1e67-486b-833e-359116ef0c2a,HND Cobros Mora 180 TC Temporal,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-05-30T21:24:36.198Z,d1ce9245-e066-494c-831d-db2447227b16,20000,20000,86400000,20000,2026-06-30 10:30:28
6562754e-5d53-4178-8abf-873b90bddea4,HND Cobros Mora 180 TC v2,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-08-21T06:51:50.276Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
63f7ca97-267b-4403-80cf-22667095a065,HND Cobros Mora 180+ TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-04-01T18:48:04.930Z,d1ce9245-e066-494c-831d-db2447227b16,20000,20000,86400000,20000,2026-06-30 10:30:28
fe8a65a8-5b0a-4d86-925e-53a632627305,HND Cobros Mora 30 TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-09-22T03:13:20.467Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
602dde1a-c242-4a4f-b867-4e6482e3fdb2,HND Cobros Mora 60 TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-09-07T15:40:22.717Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
45e8cb22-a5f2-436e-be50-962360004886,HND Cobros Mora 90 TC,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2022-09-13T17:23:44.997Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
b9f599ba-2670-4b17-bb11-f9dcd2026fcd,HND Cobros Mora Convenio,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-08-31T17:56:50.284Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
3f078bde-6e38-4434-9937-78f7f078c78e,HND Cobros Mora Convenio M30,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-09-10T18:32:25.125Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
5e4d8bce-40dd-4d3b-96b9-bc6a2fffc254,HND Cobros Mora Convenio M60-M90,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2025-09-08T18:31:38.214Z,09690e19-6666-4de8-b628-b757201a16f6,20000,20000,86400000,20000,2026-06-30 10:30:28
423dd39f-0e9c-409b-9670-c83aa16f9540,HND Cobros Mora EXC M120+ Temporal,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2026-05-27T19:57:48.665Z,d1ce9245-e066-494c-831d-db2447227b16,20000,20000,86400000,20000,2026-06-30 10:30:28
2295e840-34d6-47b0-b0bc-d81a8a354010,HND Cobros Moras Altas,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2024-04-22T20:53:20.727Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
20644034-bf56-4c6c-a81b-9f754ef6349c,HND Cobros Moras Altas Multimora,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-12-14T20:34:03.750Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
b4b69007-6a94-4627-9258-79221784a1f5,HND Cobros Moras Altas Prestamos,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-01-16T03:31:31.844Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
11600364-ffc8-483c-a6ee-67e9cbd38abf,HND Cobros Moras Altas SPS,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-01-10T15:09:31.836Z,ac7d6df3-9ee1-4af6-b416-e2bd5dae906b,20000,20000,86400000,20000,2026-06-30 10:30:28
3a8bd512-b920-458c-be81-bb183cfdfbe4,HND Cobros Moras Altas TC_SPS_120,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-01-05T14:30:32.434Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
dc30b945-3631-4b2e-bb1d-d484e2b2f0b0,HND Cobros Moras Altas TC_SPS_150,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-01-05T14:31:56.641Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
d83046a7-9fbb-476e-ba2c-b5fa8db8a94a,HND Cobros Moras Altas TC_TGU,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-03-13T06:51:57.809Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
1a7af018-bfb7-4d60-96a2-61deaa4addb3,HND Cobros Moras Altas TC_TGU_120,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-01-05T14:30:01.792Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
4a52d27c-e86e-4f72-bb77-957fd31174f1,HND Cobros Moras Altas TC_TGU_150,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-01-05T14:29:34.392Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
5f558012-28ba-47a1-bea0-bc1ae37ba7f3,HND Cobros Moras Altas Vivienda_SPS,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-12-14T20:35:56.611Z,680935d1-3f8c-4244-bc74-573830d413cb,20000,20000,86400000,20000,2026-06-30 10:30:28
26c3b426-f7ba-4d92-b084-958ed6bf7cdd,HND Cobros Moras Bajas,7c271255-84d0-418f-b11c-d34854f14822,Cobros,2023-06-08T15:34:02.215Z,4c323cd7-477c-48eb-b117-6b994ef2e604,20000,20000,86400000,20000,2026-06-30 10:30:28
5479da5e-327d-4cf5-8f25-1af15dde8b6e,HND Cobros MP Mora 30 TC,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-08-19T19:48:11.872Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
2c3944eb-ce14-4b0d-8041-9482360b9b9d,HND Cobros MP PR Mora 30,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2024-08-19T20:20:24.331Z,d1ce9245-e066-494c-831d-db2447227b16,20000,20000,86400000,20000,2026-06-30 10:30:28
918fb10b-4504-4829-8a10-dbf56b25a1f9,HND Cobros Multi Mora,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-12-14T20:59:04.792Z,eac74941-f1fe-4806-918a-a57c707b6d60,20000,20000,86400000,20000,2026-06-30 10:30:28
b3872c62-6f50-4656-a9b8-f141e54b4440,HND Cobros PP PR,a4a87bff-3d6a-45d1-9d4c-075794974c2c,Home,2023-08-31T20:12:30.405Z,73d90384-da50-4b79-9767-dc9f84e55af2,20000,20000,86400000,20000,2026-06-30 10:30:28
